,,
1928,4,4
1929,27,31
1930,43,74
1931,44,118
1932,50,168
1933,48,216
1934,57,273
1935,53,326
1936,48,374
1937,40,414
1938,31,445
1939,15,460
1940,3,463
1946,3,466
1947,1,467